N,종목명,현재가,전일비,등락률,액면가,매출액,자산총계,영업이익
1.0,삼성전자,65300.0,400.0,-0.61%,100.0,3022314.0,4484245.0,433766.0
2.0,LG에너지솔루션,569000.0,22000.0,-3.72%,500.0,255986.0,382994.0,12137.0
3.0,SK하이닉스,89900.0,300.0,-0.33%,5000.0,446216.0,1038715.0,68094.0
4.0,삼성바이오로직스,775000.0,8000.0,+1.04%,2500.0,30013.0,165821.0,9836.0
5.0,LG화학,726000.0,20000.0,-2.68%,5000.0,518649.0,679738.0,29957.0
6.0,삼성SDI,684000.0,16000.0,-2.29%,5000.0,201241.0,302575.0,18080.0
7.0,삼성전자우,55200.0,500.0,-0.90%,100.0,,,
8.0,현대차,200500.0,1000.0,-0.50%,5000.0,1425275.0,2557425.0,98198.0
9.0,기아,86400.0,500.0,-0.58%,5000.0,865590.0,737110.0,72331.0
10.0,POSCO홀딩스,380000.0,2000.0,-0.52%,5000.0,847502.0,984068.0,48501.0
11.0,NAVER,192500.0,700.0,-0.36%,100.0,82201.0,338990.0,13047.0
12.0,포스코퓨처엠,345000.0,7500.0,-2.13%,500.0,33019.0,46375.0,1659.0
13.0,카카오,58400.0,100.0,-0.17%,100.0,71068.0,229635.0,5803.0
14.0,셀트리온,159100.0,1300.0,-0.81%,1000.0,22840.0,58917.0,6472.0
15.0,현대모비스,220000.0,3000.0,-1.35%,5000.0,519063.0,554067.0,20265.0
16.0,삼성물산,109700.0,0.0,0.00%,100.0,431617.0,589815.0,25285.0
17.0,KB금융,48300.0,1200.0,-2.42%,5000.0,888959.0,7011708.0,56389.0
18.0,LG전자,109300.0,200.0,-0.18%,5000.0,834673.0,551561.0,35510.0
19.0,신한지주,34900.0,550.0,-1.55%,5000.0,354133.0,6758843.0,58881.0
20.0,SK이노베이션,175700.0,4200.0,-2.33%,5000.0,780569.0,672189.0,39173.0
21.0,LG,88600.0,0.0,0.00%,5000.0,71860.0,296337.0,19414.0
22.0,삼성생명,67200.0,0.0,0.00%,500.0,403310.0,3161659.0,13866.0
23.0,하나금융지주,41550.0,850.0,-2.00%,5000.0,708438.0,5688732.0,46903.0
24.0,하이브,294000.0,9500.0,+3.34%,500.0,17762.0,48704.0,2369.0
25.0,한국전력,18830.0,230.0,-1.21%,5000.0,712579.0,2348050.0,-326552.0
26.0,SK,163900.0,1500.0,-0.91%,200.0,1345516.0,1945059.0,80047.0
27.0,KT&G,85900.0,800.0,+0.94%,5000.0,58514.0,123017.0,12676.0
28.0,카카오뱅크,24050.0,1500.0,+6.65%,5000.0,16058.0,395161.0,3532.0
29.0,삼성화재,227000.0,500.0,-0.22%,500.0,257844.0,882243.0,16061.0
30.0,삼성전기,143200.0,400.0,+0.28%,5000.0,94246.0,109972.0,11828.0
31.0,SK텔레콤,47950.0,200.0,-0.42%,100.0,173050.0,313083.0,16121.0
32.0,고려아연,513000.0,8000.0,-1.54%,5000.0,112194.0,120979.0,9192.0
33.0,두산에너빌리티,15600.0,530.0,-3.29%,5000.0,154211.0,230498.0,11061.0
34.0,HMM,20000.0,100.0,-0.50%,5000.0,185828.0,259735.0,99516.0
35.0,HD현대중공업,109400.0,1300.0,-1.17%,5000.0,90455.0,162894.0,-2892.0
36.0,메리츠금융지주,45800.0,650.0,+1.44%,500.0,703656.0,927572.0,22009.0
37.0,크래프톤,192900.0,700.0,-0.36%,100.0,18540.0,60303.0,7516.0
38.0,LG생활건강,586000.0,32000.0,-5.18%,5000.0,71858.0,73029.0,7111.0
39.0,삼성에스디에스,118100.0,1200.0,-1.01%,500.0,172347.0,119524.0,9161.0
40.0,엔씨소프트,391500.0,3500.0,+0.90%,500.0,25718.0,44376.0,5590.0
41.0,대한항공,22950.0,150.0,-0.65%,5000.0,140961.0,289977.0,28306.0
42.0,우리금융지주,11560.0,160.0,-1.37%,5000.0,423727.0,4804744.0,44305.0
43.0,S-Oil,72600.0,1500.0,-2.02%,2500.0,424460.0,196131.0,34052.0
44.0,KT,30500.0,150.0,-0.49%,5000.0,256500.0,409807.0,16901.0
45.0,기업은행,9900.0,150.0,-1.49%,5000.0,275361.0,4319797.0,37748.0
46.0,한화솔루션,45500.0,1600.0,-3.40%,5000.0,136539.0,238317.0,9662.0
47.0,카카오페이,56800.0,1200.0,+2.16%,500.0,5217.0,33315.0,-455.0
48.0,롯데케미칼,170400.0,1400.0,-0.81%,5000.0,222761.0,267846.0,-7626.0
49.0,아모레퍼시픽,115600.0,7800.0,-6.32%,500.0,41349.0,58018.0,2142.0
50.0,현대글로비스,167000.0,500.0,+0.30%,500.0,269819.0,138778.0,17985.0
51.0,LG이노텍,264000.0,0.0,0.00%,5000.0,195894.0,97936.0,12718.0
52.0,SK아이이테크놀로지,83200.0,4500.0,+5.72%,1000.0,5858.0,34973.0,-523.0
53.0,HD한국조선해양,83700.0,100.0,-0.12%,5000.0,173020.0,298835.0,-3556.0
54.0,SK스퀘어,41750.0,400.0,+0.97%,100.0,45107.0,221606.0,1628.0
55.0,DB손해보험,81000.0,500.0,-0.61%,500.0,228608.0,644966.0,13331.0
56.0,오리온,145000.0,0.0,0.00%,500.0,28732.0,33717.0,4667.0
57.0,KODEX 200,32680.0,300.0,-0.91%,0.0,,,
58.0,넷마블,66100.0,0.0,0.00%,100.0,26734.0,89356.0,-1087.0
59.0,F&F,146600.0,1300.0,+0.89%,100.0,18089.0,15702.0,5249.0
60.0,삼성엔지니어링,28600.0,550.0,-1.89%,5000.0,100543.0,78487.0,7029.0
61.0,SK바이오사이언스,71400.0,400.0,+0.56%,500.0,4567.0,21419.0,1150.0
62.0,코스모신소재,177700.0,6800.0,-3.69%,1000.0,4856.0,4513.0,325.0
63.0,한화에어로스페이스,107000.0,600.0,-0.56%,5000.0,65396.0,151573.0,3772.0
64.0,SK바이오팜,68200.0,800.0,-1.16%,500.0,2462.0,6642.0,-1311.0
65.0,LG디스플레이,14770.0,240.0,-1.60%,5000.0,261518.0,356860.0,-20850.0
66.0,한국항공우주,54000.0,600.0,-1.10%,5000.0,27869.0,77724.0,1416.0
67.0,두산밥캣,51400.0,500.0,+0.98%,500.0,86219.0,92484.0,10716.0
68.0,맥쿼리인프라,12460.0,50.0,+0.40%,0.0,,,
69.0,포스코인터내셔널,27900.0,250.0,-0.89%,5000.0,379896.0,125163.0,9025.0
70.0,한온시스템,9180.0,140.0,-1.50%,100.0,86277.0,90988.0,2566.0
71.0,TIGER CD금리투자KIS(합성),52310.0,25.0,+0.05%,0.0,,,
72.0,LG유플러스,11070.0,200.0,-1.77%,5000.0,139060.0,197748.0,10813.0
73.0,현대제철,36050.0,1200.0,-3.22%,5000.0,273406.0,368010.0,16165.0
74.0,삼성중공업,5390.0,140.0,-2.53%,1000.0,59447.0,144917.0,-8544.0
