N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,
1,삼성전자,"70,500",900,-1.26%,100,"4,208,697","5,969,783",52.59,"9,473,579",10.64,17.07,
2,LG에너지솔루션,"558,000","3,000",-0.53%,500,"1,305,720","234,000",5.45,"240,312",125.39,5.75,
3,SK하이닉스,"114,900","1,200",-1.03%,"5,000","836,475","728,002",51.84,"2,502,516",-35.91,3.56,
4,삼성바이오로직스,"757,000","12,000",-1.56%,"2,500","538,787","71,174",10.64,"62,902",67.75,11.42,
5,LG화학,"725,000","14,000",-1.89%,"5,000","511,794","70,592",47.75,"148,285",34.79,6.95,
6,삼성전자우,"59,200",400,-0.67%,100,"487,149","822,887",72.51,"463,409",8.94,N/A,
7,삼성SDI,"696,000","6,000",-0.85%,"5,000","478,601","68,765",49.60,"156,747",24.07,12.52,
8,현대차,"204,000","6,100",+3.08%,"5,000","431,524","211,532",32.25,"928,497",6.20,9.36,
9,기아,"83,700","2,000",+2.45%,"5,000","336,511","402,044",37.43,"1,479,077",5.22,14.57,
10,POSCO홀딩스,"382,500","3,500",-0.91%,"5,000","323,485","84,571",38.09,"449,634",15.17,6.11,
11,NAVER,"190,100","8,400",-4.23%,100,"311,857","164,049",47.72,"1,253,874",48.42,3.29,
12,포스코퓨처엠,"374,000",500,+0.13%,500,"289,712","77,463",7.56,"498,844",239.13,4.87,
13,셀트리온,"158,700","2,400",-1.49%,"1,000","232,322","146,391",20.39,"332,622",39.71,13.35,
14,카카오,"50,400","1,300",-2.51%,100,"223,829","444,104",25.54,"1,856,881",176.22,13.54,
15,현대모비스,"221,500","2,500",+1.14%,"5,000","208,841","94,285",37.01,"146,443",7.45,6.80,
16,LG전자,"125,000","1,300",+1.05%,"5,000","204,560","163,648",29.98,"766,347",51.25,6.61,
17,삼성물산,"106,200",900,-0.84%,100,"197,098","185,592",18.29,"170,836",9.27,7.16,
18,KB금융,"46,900",950,-1.99%,"5,000","189,247","403,511",72.40,"1,164,356",4.33,9.17,
19,신한지주,"34,300",300,-0.87%,"5,000","179,248","522,590",58.90,"694,236",3.92,9.70,
20,SK이노베이션,"181,700","2,400",-1.30%,"5,000","168,010","92,466",24.63,"463,366",26.43,8.49,
21,LG,"88,600",700,+0.80%,"5,000","139,369","157,301",36.01,"112,972",12.91,8.48,
22,삼성생명,"65,300",700,+1.08%,500,"130,600","200,000",16.11,"170,724",6.46,5.73,
23,하이브,"296,500","4,000",-1.33%,500,"123,489","41,649",17.68,"219,380",278.14,1.87,
24,두산에너빌리티,"19,270",0,0.00%,"5,000","123,436","640,561",13.64,"7,088,845",-18.46,-11.70,
25,한국전력,"18,570",180,-0.96%,"5,000","119,213","641,964",14.29,"1,101,333",-0.51,-46.91,
26,하나금융지주,"40,250",250,-0.62%,"5,000","119,101","295,903",69.42,"768,966",3.18,10.06,
27,SK,"161,200","2,300",-1.41%,200,"117,996","73,198",22.77,"163,181","-8,060.00",5.13,
28,카카오뱅크,"24,350",600,-2.40%,"5,000","116,093","476,767",14.27,"887,279",38.90,4.68,
29,HD현대중공업,"129,000","1,400",-1.07%,"5,000","114,517","88,773",6.97,"208,880",-58.21,-6.47,
30,KT&G,"82,100",100,-0.12%,"5,000","112,717","137,292",42.95,"246,993",11.03,11.00,
31,삼성전기,"143,500","6,000",-4.01%,"5,000","107,185","74,694",30.86,"365,193",14.34,13.76,
32,삼성화재,"221,000","3,500",+1.61%,500,"104,698","47,375",52.61,"59,786",7.74,9.70,
33,SK텔레콤,"47,000",0,0.00%,100,"102,852","218,833",43.23,"377,129",10.37,7.97,
34,크래프톤,"204,500",0,0.00%,100,"98,902","48,363",31.33,"60,614",19.23,10.29,
35,고려아연,"490,000","5,500",-1.11%,"5,000","97,329","19,863",21.03,"42,108",12.52,9.38,
36,삼성에스디에스,"124,300",100,+0.08%,500,"96,181","77,378",16.02,"78,985",8.71,14.23,
37,HMM,"18,610",480,-2.51%,"5,000","91,010","489,039",10.47,"1,411,038",1.26,64.98,
38,메리츠금융지주,"43,400",50,+0.12%,500,"90,367","208,218",15.69,"460,309",4.68,30.32,
39,대한항공,"23,600",700,-2.88%,"5,000","86,900","368,221",15.20,"1,422,137",6.03,21.95,
40,우리금융지주,"11,890",120,-1.00%,"5,000","86,566","728,061",38.88,"1,831,496",2.69,11.51,
41,HD한국조선해양,"120,300","3,000",+2.56%,"5,000","85,140","70,773",21.70,"745,783",-68.08,-2.22,
42,한화오션,"39,400","1,200",+3.14%,"5,000","83,421","211,729",1.85,"3,421,339",-3.08,-117.79,
43,기업은행,"10,270",30,-0.29%,"5,000","81,896","797,426",13.95,"340,637",2.89,9.85,
44,KT,"30,700",50,-0.16%,"5,000","80,161","261,112",40.16,"606,237",6.97,7.99,
45,S-Oil,"70,800","1,200",-1.67%,"2,500","79,709","112,583",78.82,"321,573",5.51,27.20,
46,LG생활건강,"501,000","8,000",-1.57%,"5,000","78,247","15,618",34.25,"75,031",40.64,4.41,
47,한화솔루션,"44,900","1,350",-2.92%,"5,000","77,180","171,893",24.50,"1,133,722",22.93,4.21,
48,롯데케미칼,"179,100","5,900",-3.19%,"5,000","76,611","42,775",25.49,"113,433",69.28,0.43,
49,LG이노텍,"307,000","6,000",-1.92%,"5,000","72,658","23,667",21.40,"74,003",9.13,25.85,
50,현대글로비스,"188,600","1,100",-0.58%,500,"70,725","37,500",47.98,"103,973",6.00,18.78,
51,한화에어로스페이스,"138,800","3,700",-2.60%,"5,000","70,274","50,630",35.94,"1,478,209",12.30,6.98,
52,포스코인터내셔널,"38,600",600,+1.58%,"5,000","67,906","175,923",6.02,"2,374,874",8.62,15.79,
53,SK바이오팜,"86,000","2,700",+3.24%,500,"67,349","78,313",6.63,"243,437",-63.19,-36.66,
54,SK아이이테크놀로지,"93,100",800,+0.87%,"1,000","66,378","71,298",7.54,"400,020",-211.59,-1.35,
55,엔씨소프트,"301,500","7,000",-2.27%,500,"66,191","21,954",42.47,"111,545",17.40,13.73,
56,SK스퀘어,"46,100",400,-0.86%,100,"65,217","141,468",42.76,"225,803",-9.32,1.55,
57,카카오페이,"48,450","2,050",-4.06%,500,"64,940","134,035",39.57,"447,062",128.86,3.08,
58,코스모신소재,"206,500",500,-0.24%,"1,000","63,294","30,651",12.96,"331,351",291.26,12.13,
59,KODEX 200,"33,970",325,-0.95%,0,"61,112","179,900",3.12,"1,719,263",N/A,N/A,
60,SK바이오사이언스,"79,300","1,900",-2.34%,500,"60,890","76,784",4.84,"192,597",75.38,N/A,
61,LG디스플레이,"16,850",170,-1.00%,"5,000","60,292","357,816",19.37,"972,103",-1.40,-26.71,
62,아모레퍼시픽,"102,700","1,400",-1.34%,500,"60,072","58,493",24.71,"278,502",67.97,2.81,
63,삼성중공업,"6,810",70,-1.02%,"1,000","59,928","880,000",17.22,"6,544,516",-11.86,-16.08,
64,두산밥캣,"55,100","4,800",-8.01%,500,"55,237","100,249",35.37,"2,308,350",7.35,13.78,
65,삼성엔지니어링,"28,050",450,+1.63%,"5,000","54,978","196,000",47.72,"506,444",7.55,28.32,
66,DB손해보험,"76,000","1,500",+2.01%,500,"53,808","70,800",44.57,"136,387",4.54,16.45,
67,한국항공우주,"54,500","2,500",-4.39%,"5,000","53,124","97,475",26.81,"1,390,128",47.60,8.78,
68,맥쿼리인프라,"13,060",20,+0.15%,0,"52,873","404,846",14.11,"598,882",N/A,N/A,
69,오리온,"130,600","5,100",+4.06%,500,"51,634","39,536",42.31,"138,625",13.19,16.47,
70,TIGER CD금리투자KIS(합성),"52,545",5,+0.01%,0,"51,464","97,942",0.06,"655,193",N/A,N/A,
71,한온시스템,"9,580",380,+4.13%,100,"51,138","533,800",16.71,"829,369",114.05,0.89,
72,HD현대,"63,500",600,+0.95%,"1,000","50,161","78,993",18.27,"233,709",4.43,20.43,
73,F&F,"130,500","4,200",-3.12%,100,"49,991","38,307",12.79,"137,936",10.77,60.40,
74,LG유플러스,"10,880",50,-0.46%,"5,000","47,503","436,611",38.91,"469,701",7.37,8.37,
75,현대제철,"33,850",500,-1.46%,"5,000","45,171","133,446",25.03,"394,295",5.87,5.56,
76,넷마블,"52,500","1,200",-2.23%,100,"45,126","85,954",22.85,"129,327",-5.54,-14.56,
77,미래에셋증권,"7,400",150,+2.07%,"5,000","44,793","605,316",13.50,"574,302",8.31,6.17,
78,유한양행,"58,400",300,-0.51%,"1,000","44,757","76,639",21.14,"102,444",44.79,4.86,
79,현대건설,"39,350",250,-0.63%,"5,000","43,818","111,356",25.22,"574,078",11.17,5.49,
80,한국타이어앤테크놀로지,"34,050",300,+0.89%,500,"42,179","123,875",38.17,"210,785",6.18,8.14,
81,현대로템,"38,500",850,-2.16%,"5,000","42,020","109,142",17.39,"6,840,680",20.77,14.06,
82,CJ제일제당,"274,000","18,000",-6.16%,"5,000","41,248","15,054",22.98,"136,476",11.12,9.26,
83,한미약품,"325,000","11,000",+3.50%,"2,500","40,827","12,562",17.33,"43,177",38.36,9.89,
84,SKC,"105,900","1,300",+1.24%,"5,000","40,103","37,868",12.30,"136,032",-18.80,-3.67,
85,금호석유,"136,300","6,800",-4.75%,"5,000","39,955","29,314",21.13,"155,422",5.70,19.11,
86,현대차2우B,"109,900","3,700",+3.48%,"5,000","39,697","36,121",62.23,"115,239",3.34,N/A,
87,강원랜드,"17,490",260,-1.46%,500,"37,418","213,940",16.72,"697,555",16.79,3.47,
88,씨에스윈드,"86,800",100,+0.12%,500,"36,605","42,171",12.87,"425,856",305.63,-0.11,
89,KODEX KOFR금리액티브(합성),"103,355",5,0.00%,0,"35,916","34,750",0.00,"151,501",N/A,N/A,
90,GS,"37,800",950,-2.45%,"5,000","35,122","92,915",24.38,"205,645",1.88,18.86,
91,삼성카드,"29,800",100,-0.33%,"5,000","34,526","115,859",6.52,"37,190",5.69,8.08,
92,금양,"58,800","1,500",-2.49%,500,"34,133","58,050",2.69,"699,351",-95.15,-24.34,
93,현대미포조선,"84,300",600,-0.71%,"5,000","33,671","39,942",19.72,"343,961",-427.92,-2.07,
94,현대오토에버,"122,400","2,400",+2.00%,500,"33,567","27,424",3.56,"59,297",26.27,8.00,
95,한진칼,"49,050",350,-0.71%,"2,500","32,747","66,762",16.74,"41,841",5.20,33.64,
96,코웨이,"44,100",450,-1.01%,500,"32,546","73,800",60.92,"137,476",7.26,21.72,
97,삼성증권,"36,150",50,+0.14%,"5,000","32,282","89,300",32.02,"234,648",6.17,6.88,
98,NH투자증권,"9,650",40,-0.41%,"5,000","32,006","331,666",13.25,"159,146",8.78,4.32,
99,BGF리테일,"184,000","3,000",-1.60%,"1,000","31,802","17,284",33.89,"35,552",16.29,21.85,
100,LS,"92,800","1,300",+1.42%,"5,000","29,882","32,200",12.56,"330,686",7.26,12.00,
101,한국금융지주,"53,500",700,-1.29%,"5,000","29,813","55,726",38.91,"152,067",5.22,8.45,
102,KODEX 종합채권(AA-이상)액티브,"104,645",25,+0.02%,0,"29,325","28,023",0.03,"26,107",N/A,N/A,
103,LG화학우,"376,000","6,000",-1.57%,"5,000","28,910","7,689",62.65,"20,115",18.04,N/A,
104,롯데지주,"27,450",550,-1.96%,200,"28,798","104,909",7.43,"258,968",24.04,2.42,
105,호텔신라,"72,900","1,200",-1.62%,"5,000","28,612","39,248",18.17,"307,843",272.01,-8.99,
106,한미반도체,"29,150","1,750",-5.66%,100,"28,374","97,339",8.66,"4,550,346",13.93,25.04,
107,DB하이텍,"63,800","3,400",-5.06%,"5,000","28,326","44,399",18.52,"1,011,696",5.96,40.73,
108,쌍용C&E,"5,590",0,0.00%,100,"28,166","503,860",2.20,"342,285",23.99,7.87,
109,한화시스템,"14,820",430,-2.82%,"5,000","27,998","188,919",4.71,"898,864",28.50,-3.63,
110,한전기술,"72,900","2,900",-3.83%,200,"27,862","38,220",3.65,"187,729",97.85,3.40,
111,TIGER 차이나전기차SOLACTIVE,"10,075",45,-0.44%,0,"27,638","274,320",0.68,"7,076,296",N/A,N/A,
112,팬오션,"5,170",300,-5.48%,"1,000","27,637","534,570",14.16,"4,411,976",4.40,16.74,
113,현대해상,"30,500",50,+0.16%,500,"27,267","89,400",39.13,"389,118",4.18,12.44,
114,현대차우,"109,800","3,500",+3.29%,"5,000","26,476","24,113",60.55,"79,674",3.34,N/A,
115,롯데에너지머티리얼즈,"57,300","1,400",-2.39%,500,"26,422","46,111",7.78,"167,153",-249.13,3.58,
116,한솔케미칼,"229,500","4,000",-1.71%,"5,000","26,014","11,335",38.70,"68,019",18.28,21.36,
117,영원무역,"57,900","1,600",+2.84%,500,"25,656","44,311",29.97,"106,515",3.61,26.80,
118,농심,"418,000","9,000",+2.20%,"5,000","25,425","6,083",17.52,"26,070",18.49,5.17,
119,GS리테일,"23,800",200,-0.83%,"1,000","24,923","104,718",7.49,"258,314",52.31,1.00,
120,KODEX 200선물인버스2X,"2,535",50,+2.01%,0,"24,407","962,800",0.91,"101,923,325",N/A,N/A,
121,HL만도,"51,800","3,200",+6.58%,"1,000","24,324","46,957",24.99,"647,954",22.57,4.78,
122,TIGER 미국나스닥100,"86,975",780,+0.90%,0,"23,988","27,580",0.12,"129,220",N/A,N/A,
123,키움증권,"91,000","1,500",+1.68%,"5,000","23,866","26,227",26.59,"61,499",4.02,11.50,
124,한미사이언스,"34,000",250,-0.73%,500,"23,785","69,957",2.40,"91,145",30.12,9.78,
125,HD현대인프라코어,"11,680",50,-0.43%,"1,000","23,314","199,603",19.61,"3,900,468",8.62,15.29,
126,한국가스공사,"25,250",350,-1.37%,"5,000","23,309","92,313",5.74,"223,438",2.61,15.67,
127,휠라홀딩스,"38,100",300,-0.78%,"1,000","23,147","60,752",42.89,"89,083",7.02,19.71,
128,한화,"30,750",450,-1.44%,"5,000","23,050","74,959",18.28,"201,987",1.82,24.47,
129,한화생명,"2,610",50,+1.95%,"5,000","22,669","868,530",8.21,"1,183,905",2.03,9.05,
130,아모레G,"27,350",400,-1.44%,500,"22,552","82,458",10.80,"316,200",41.19,1.87,
131,TIGER 200,"34,015",310,-0.90%,0,"22,501","66,150",8.37,"499,905",N/A,N/A,
132,BNK금융지주,"6,890",20,-0.29%,"5,000","22,457","325,935",35.29,"589,408",2.84,8.43,
133,이마트,"80,500","1,600",-1.95%,"5,000","22,440","27,876",28.22,"232,674",9.78,9.59,
134,LS ELECTRIC,"74,700",700,+0.95%,"5,000","22,410","30,000",14.33,"93,025",20.84,5.95,
135,CJ,"73,800","4,300",-5.51%,"5,000","21,533","29,177",20.22,"283,287",20.19,3.94,
136,롯데쇼핑,"75,100","3,100",-3.96%,"5,000","21,245","28,289",9.87,"193,620",-6.71,-3.30,
137,효성첨단소재,"473,000","9,000",-1.87%,"5,000","21,190","4,480",7.09,"27,742",20.71,19.11,
138,HD현대일렉트릭,"58,600","1,100",+1.91%,"5,000","21,124","36,047",16.69,"235,817",11.44,22.13,
139,제일기획,"18,260",150,-0.81%,200,"21,007","115,041",28.74,"441,709",11.14,16.64,
140,에스원,"54,600",500,-0.91%,500,"20,748","37,999",53.83,"74,946",13.21,10.19,
141,동원산업,"41,500","1,250",-2.92%,"1,000","20,743","49,983",2.18,"54,903",6.63,8.53,
142,이수스페셜티케미컬,"363,000","40,000",-9.93%,"5,000","19,997","5,509",3.20,"830,962",N/A,N/A,
143,두산퓨얼셀,"30,250",250,-0.82%,100,"19,812","65,494",15.61,"237,207",285.38,0.74,
144,LX세미콘,"121,600",500,-0.41%,500,"19,777","16,264",28.03,"141,303",11.49,26.70,
145,KODEX 200TR,"11,575",115,-0.98%,0,"19,481","168,300",3.67,"903,330",N/A,N/A,
146,동서,"19,400",40,-0.21%,500,"19,342","99,700",3.37,"63,865",11.26,11.33,
147,TIGER 미국S&P500,"14,210",105,+0.74%,0,"19,276","135,650",0.15,"1,299,802",N/A,N/A,
148,코스모화학,"53,500",100,-0.19%,"1,000","18,729","35,008",3.41,"965,391","2,326.09",6.13,
149,KODEX 레버리지,"16,910",325,-1.89%,0,"18,711","110,650",1.56,"10,385,434",N/A,N/A,
150,대한전선,"14,950",250,-1.64%,"1,000","18,605","124,447",3.62,"465,857",91.72,3.32,
151,KCC,"205,500","7,000",-3.29%,"5,000","18,262","8,886",13.02,"23,681",51.56,0.67,
152,신세계,"184,400","3,200",-1.71%,"5,000","18,155","9,845",14.31,"63,691",4.64,10.34,
153,LIG넥스원,"82,400","2,200",-2.60%,"5,000","18,128","22,000",13.11,"162,855",12.86,14.48,
154,효성티앤씨,"415,000","8,000",-1.89%,"5,000","17,960","4,328",8.79,"27,571",-71.50,0.88,
155,GS건설,"20,750",300,-1.43%,"5,000","17,758","85,581",23.73,"522,226",5.33,7.18,
156,CJ대한통운,"77,600",700,-0.89%,"5,000","17,702","22,812",16.34,"50,920",8.89,5.09,
157,덴티움,"159,400","7,900",-4.72%,500,"17,644","11,069",21.97,"123,745",19.89,25.86,
158,롯데정밀화학,"68,100",600,-0.87%,"5,000","17,570","25,800",21.91,"110,155",5.82,6.51,
159,대우건설,"4,220",30,-0.71%,"5,000","17,539","415,623",11.04,"1,066,728",4.10,14.55,
160,OCI홀딩스,"106,200","5,200",+5.15%,"5,000","17,430","16,413",21.56,"203,681",2.64,25.21,
161,KODEX 23-12 은행채(AA+이상)액티브,"10,320",5,+0.05%,0,"17,018","164,900",0.01,"68,610",N/A,N/A,
162,현대엘리베이,"43,150",50,+0.12%,"5,000","16,868","39,092",29.15,"158,223",5.82,6.89,
163,JB금융지주,"8,550",70,-0.81%,"5,000","16,842","196,983",33.40,"291,122",2.82,13.76,
164,오뚜기,"420,000","4,000",-0.94%,"5,000","16,833","4,008",11.31,"6,097",6.20,16.53,
165,현대위아,"61,300","2,900",+4.97%,"5,000","16,671","27,195",9.24,"377,574",28.79,1.99,
166,TIGER 미국테크TOP10 INDXX,"13,290",150,+1.14%,0,"16,612","125,000",0.75,"1,386,510",N/A,N/A,
167,에스엘,"35,450","1,550",+4.57%,500,"16,466","46,449",12.99,"405,833",8.08,9.87,
168,TIGER 미국필라델피아반도체나스닥,"12,545",15,+0.12%,0,"16,302","129,950",0.54,"837,359",N/A,N/A,
169,두산,"98,200","1,500",-1.50%,"5,000","16,226","16,524",9.31,"63,595",-2.91,-36.00,
170,삼아알미늄,"108,000","3,400",-3.05%,500,"15,889","14,712",37.68,"122,460",86.40,13.24,
171,KG모빌리티,"8,250",200,-2.37%,"5,000","15,424","186,956",25.18,"828,320",-67.62,-12.10,
172,한전KPS,"33,850",200,-0.59%,200,"15,232","45,000",7.96,"148,158",12.15,8.61,
173,하이트진로,"21,700",450,-2.03%,"5,000","15,219","70,134",9.83,"411,347",21.51,7.72,
174,대덕전자,"30,400",450,-1.46%,500,"15,023","49,417",12.22,"994,419",9.86,23.94,
175,DL이앤씨,"36,650",300,-0.81%,"5,000","14,181","38,694",23.64,"102,240",3.91,9.70,
176,HD현대건설기계,"71,700","2,000",-2.71%,"5,000","14,125","19,701",25.53,"159,222",10.74,7.99,
177,이수페타시스,"22,200","1,300",-5.53%,"1,000","14,041","63,246",11.71,"6,302,752",13.50,58.92,
178,에스디바이오센서,"13,440",720,-5.08%,500,"14,038","104,452",11.85,"814,927",6.51,35.30,
179,KODEX 삼성그룹,"9,225",90,-0.97%,0,"14,004","151,800",0.12,"58,976",N/A,N/A,
180,솔루엠,"27,850",50,-0.18%,500,"13,927","50,006",14.02,"591,352",16.88,16.93,
181,금호타이어,"4,845",35,+0.73%,"5,000","13,918","287,260",4.63,"388,776",-23.99,-6.87,
182,효성,"64,800",400,-0.61%,"5,000","13,654","21,071",5.37,"17,171",-42.80,0.60,
183,LX인터내셔널,"34,900",100,-0.29%,"5,000","13,527","38,760",25.59,"398,190",2.78,25.53,
184,TIGER 2차전지테마,"31,220",235,-0.75%,0,"13,440","43,050",0.07,"1,184,054",N/A,N/A,
185,솔루스첨단소재,"37,600",750,-1.96%,100,"13,202","35,111",6.00,"42,909",-75.20,-2.68,
186,TIGER MSCI Korea TR,"14,460",180,-1.23%,0,"13,188","91,200",0.08,"1,892",N/A,N/A,
187,녹십자,"111,700","2,300",-2.02%,"5,000","13,054","11,687",20.34,"47,961",35.65,5.03,
188,애경케미칼,"26,800",100,-0.37%,500,"13,038","48,649",2.09,"3,970,550",23.26,8.47,
189,코오롱인더,"46,650",200,-0.43%,"5,000","12,838","27,519",16.56,"246,619",11.78,7.13,
190,KBSTAR 200,"34,195",310,-0.90%,0,"12,755","37,300",0.02,"139,851",N/A,N/A,
191,KODEX 단기채권PLUS,"106,845",5,0.00%,0,"12,518","11,716",0.00,"53,794",N/A,N/A,
192,후성,"13,220",390,-2.87%,500,"12,473","94,352",2.45,"729,382",21.05,31.60,
193,SK케미칼,"72,000","1,700",-2.31%,"5,000","12,423","17,254",13.95,"51,441",8.27,9.11,
194,풍산,"43,950",50,+0.11%,"5,000","12,317","28,024",16.48,"221,134",6.62,9.94,
195,롯데칠성,"132,000","2,700",-2.00%,500,"12,248","9,279",11.07,"40,068",10.92,9.11,
196,DGB금융지주,"7,190",30,-0.42%,"5,000","12,162","169,146",43.92,"194,789",2.99,7.38,
197,대웅제약,"104,600","2,100",-1.97%,"2,500","12,120","11,587",7.79,"31,013",27.53,7.17,
198,SK네트웍스,"5,130",0,0.00%,"2,500","12,095","235,778",8.46,"1,442,460",20.44,3.88,
199,KBSTAR 종합채권(A-이상)액티브,"96,715",180,-0.19%,0,"12,086","12,496",0.00,"68,625",N/A,N/A,
200,명신산업,"22,450","1,000",+4.66%,500,"11,780","52,470",4.26,"856,386",11.04,25.18,
